id,nom,categorie_code,categorie_label,sous_categorie,ville,province_code,province_label,telephone,site_web,adresse,horaires,description,urgent,couvre_province,badge_verifie,featured,lat,lng,langues,organisation_id
pw2,Info-Santé / Info-Social,health,Santé,Consultation santé,Province de Québec,,,811,,N/A — service téléphonique/en ligne,"Service disponible 24h/24, 7j/7",Ligne provinciale d'information santé. Infirmières disponibles 24h/24 pour conseils médicaux et orientation.,oui,oui,,,46.8139,-71.2082,,
pw3,SOS Violence Conjugale,family,Famille,Violence conjugale,Province de Québec,,,1-800-363-9010,,,"Service disponible 24h/24, 7j/7",Ligne d'aide 24h/24 pour victimes de violence conjugale. Hébergement d'urgence et accompagnement.,oui,oui,,,46.8139,-71.2082,,
pw4,DPJ – Protection de la jeunesse,family,Famille,Protection enfance,Province de Québec,,,1-800-463-9019,,,Lun-ven 8h-20h. Sam-dim 8h-16h. Urgences jeunesse: disponible 24h.,Service de protection pour enfants en danger. Signalements et intervention pour enfants maltraités ou négligés.,oui,oui,,,46.8139,-71.2082,,
pw5,Suicide Action Montréal / Tel-Jeunes,mentalHealth,Santé mentale,Prévention suicide,Province de Québec,,,1-866-APPELLE,,N/A — service téléphonique/en ligne,"Service disponible 24h/24, 7j/7",Ligne de prévention du suicide 24h/24. Intervention pour personnes suicidaires et leurs proches.,oui,oui,,,46.8139,-71.2082,,
pw7,Emploi-Québec,employment,Emploi,Services d'emploi,Province de Québec,,,1-888-643-4721,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,"Services publics d'emploi. Aide à la recherche d'emploi, formations professionnelles et prestations.",,oui,,,46.8139,-71.2082,,
pw-shq-logement,SHQ – Société d'habitation du Québec,housing,Logement,Logement social et abordable,Province de Québec,QC,Québec,1-800-463-4315,https://www.habitation.gouv.qc.ca/,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,"Organisme gouvernemental responsable du logement social, abordable et accessible au Québec. Programmes : HLM, supplément au loyer, AccèsLogis, allocation-logement.",,oui,oui,,46.8139,-71.2082,fr|en,
pw-msmq-santement,Mouvement Santé Mentale Québec,mentalHealth,Santé mentale,Promotion santé mentale,Province de Québec,QC,Québec,1-877-849-4621,https://mouvementsmq.ca/,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. Sur rendez-vous pour suivi.,"Réseau provincial regroupant 13 organismes communautaires en promotion et prévention de la santé mentale. Outils, ateliers et campagnes annuelles.",,oui,oui,,46.8139,-71.2082,fr|en,
pw-mifi-immigration,MIFI – Ministère de l'Immigration,immigration,Immigration,Démarches immigration,Province de Québec,QC,Québec,1-877-864-9191,https://www.quebec.ca/immigration,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. Sur RV pour consultations spécialisées.,"Ministère de l'Immigration, de la Francisation et de l'Intégration. Sélection, francisation, intégration et reconnaissance des compétences pour personnes immigrantes au Québec.",,oui,oui,,46.8139,-71.2082,fr|en|es|ar,
pw-servicesqc-emploi,Services Québec – Emploi,employment,Emploi,Recherche d'emploi et formation,Province de Québec,QC,Québec,1-877-644-4545,https://www.quebec.ca/emploi,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,"Centres locaux d'emploi (CLE) partout au Québec : aide à la recherche d'emploi, formations subventionnées, programmes d'intégration en emploi et soutien financier.",,oui,oui,,46.8139,-71.2082,fr|en,
pw-ligneparents-famille,LigneParents,family,Famille,Soutien aux parents,Province de Québec,QC,Québec,1-800-361-5085,https://www.ligneparents.com/,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. Sur RV.,"Service confidentiel et gratuit d'écoute, soutien et référence pour les parents d'enfants 0-20 ans. Intervenants professionnels disponibles 24h/24.",oui,oui,oui,,45.5017,-73.5673,fr|en,
