No. dossier,Nom organisme / programme,Situé à,Description,Téléphone,Courriel,Site web
QBC3962,Aliments Ensemble 2020 - Les saveurs de la Syrie,Lairet (Quartier),"Développement de projets d'affaires offrant en priorité des emplois aux immigrants et réfugiés, service de traiteur. Pour femmes réfugiées syriennes.",418-914-9954,khatibrama26@gmail.com,
QBC1572,Amis veillants : un milieu de vie pour toi (Les),Vieux-Bourg (Quartier),"Contact et relation enrichissante entre les immigrants et la société d'accueil, établissement d'un réseau d'entraide entre femmes immigrantes, collaboration avec associations et organismes.",418-666-7495,lesamisveillants@videotron.ca,
QBC0783,"Armée du Salut, Région de Québec",Vanier (Quartier),"Aide aux familles et adultes à faible revenu ou en difficulté, aide vestimentaire et matérielle, friperies, vêtements d'urgence. Pour adultes, familles, itinérants, immigrants.",418-641-0050 poste 227,andrea_lauzon_amyot@armeedusalut.ca,https://salvationarmy.ca/fr/
QBC2398,Association des ressortissants Sénégalais de Québec,Cité-Universitaire (Quartier),Accueil des immigrants sénégalais et participation à leur intégration à Québec.,418-265-8240,arsquebec@gmail.com,
QBC0301,Association Québec - Bolivie,Sillery (Quartier),"Rapprochement interculturel, accueil des immigrants boliviens et latino-américains, collaboration avec organismes de même mission. Pour immigrants boliviens et latino-américains.",418-688-8417,bolivia@bell.net,
QBC0158,Canadaide,Montcalm (Quartier),"Organisme de volontariat offrant nouvelles orientations aux personnes retraitées, formation et soutien aux étudiants, aide humanitaire internationale. Pour adultes, retraités, immigrants.",418-861-8886,canadaide@canadaide.org,http://www.canadaide.org
QBC3714,Carrefour d'action interculturelle,Vieux Québec (Quartier),"Accompagnement personnalisé et adapté à la réalité des personnes migrantes et immigrantes sans égard à leur situation migratoire, favorise l'autonomie économique et sociale.",418-692-1762 poste 236,info@cai-quebec.org,
QBC4299,Centre CEEB Québec,Vanier (Quartier),"Accueil, accompagnement et aide à l'intégration des nouveaux arrivants, création de liens par échanges téléphoniques et activités interculturelles, intervention psychosociale. 10-65 ans.",581-999-2841,directioncanadaassociation@gmail.com,http://www.canadaassociation.net
QBC5014,Centre de réfugiés (Le),Québec (Ville),"Accompagnement des personnes réfugiées et en demande d'asile avec besoins juridiques, sociaux, économiques, académiques et de santé, clinique d'aide juridique, parrainage de réfugiés. Pour réfugiés, demandeurs d'asile, résidents permanents, étudiants étrangers.",,juridique-legalqc@therefugeecentre.org,https://www.therefugeecentre.org
QBC0113,"Centre international des femmes, Québec",Cité-Universitaire (Quartier),"Soutien à l'intégration des femmes des communautés culturelles et leur famille, accompagnement confidentiel par un interprète, accueil, information, orientation, référence, défense de droits. Pour immigrantes.",418-688-5530,cifq@bellnet.ca,http://www.cifqfemmes.qc.ca
QBC0188,Centre Mgr Marcoux,Maizerets (Quartier),"Milieu de vie favorisant participation et épanouissement, programme d'intégration des nouveaux arrivants pour adultes et jeunes accompagnés d'un adulte.",418-661-7766 poste 221,administration@centremgrmarcoux.com,http://www.centremgrmarcoux.com
QBC0116,Centre multiethnique de Québec,Saint-Roch (Quartier),"Aide aux nouveaux arrivants, immigrants ou réfugiés à s'installer et s'intégrer, accompagnement, accueil et installation, soutien social, suivi des démarches, renseignements. Pour immigrants résidents permanents ou temporaires, demandeurs d'asile.",418-687-9771,info@centremultiethnique.com,http://www.centremultiethnique.com
QBC1391,Centre RIRE 2000,Saint-Roch (Quartier),"Aide aux jeunes et adultes des communautés culturelles éprouvant des difficultés dans leur cheminement scolaire, insertion socioéconomique par soutien à la recherche d'emploi. Pour jeunes et adultes immigrants.",418-524-5609 poste 221,info@r2000.qc.ca,http://www.r2000.qc.ca
QBC0299,Cercle Goethe de Québec,Sillery (Quartier),"Aide à l'intégration des immigrants dans le milieu québécois, rapprochement entre immigrants et gens de Québec par activités linguistiques et culturelles. Pour immigrants des communautés allemande, suisse ou autrichienne.",418-651-8734,inge.kretschmer@videotron.ca,
QBC3378,Clinique SPOT,Vieux Québec (Quartier),"Clinique communautaire de santé visant l'amélioration de la santé des personnes en situation de marginalisation et vulnérabilité sociosanitaire, incluant personnes à statut migratoire précaire. 14+",418-781-2668 poste 112,info@cliniquespot.org,http://cliniquespot.org
QBC3878,Collectif culturel Mondo,Saint-Charles-Borromée (Quartier),"Rassemblement des communautés culturelles de Québec pour découverte, échange et partage des cultures, arts et traditions avec la terre d'accueil québécoise, soutien à la rétention.",418-575-8148,info@mondokarnaval.com,http://www.mondokarnaval.com
QBC0819,Comité d'accueil aux réfugiés Saint-Yves,Plateau (Quartier),"Comité de parrainage et d'accueil des familles réfugiées, parrainage privé, installation et suivi des familles, collecte de dons, occasions de bénévolat.",,accueil@carsy.org,
QBC1418,Comptoir Emmaüs (Le),Vieux Québec (Quartier),"Récupération et redistribution d'articles usagés pour aider les personnes dans le besoin, itinérance, personnes âgées, personnes avec handicap, étudiants, nouveaux arrivants.",418-692-0385,info@comptoiremmaus.com,http://comptoiremmaus.com
QBC0322,Confédération des associations latino-américaines de Québec,Saint-Sauveur (Quartier),"Soutien à l'intégration et enracinement des immigrants latino-américains, rapprochement des communautés latino-américaines et québécoises, diffusion des cultures. Pour immigrants et réfugiés.",418-931-8439,casa.latinoamericaine@gmail.com,
QBC3803,Cours ta réussite,Vieux-Limoilou (Quartier),"Promotion de la persévérance scolaire et aide à l'intégration sociale des nouveaux arrivants. Pour personnes défavorisées, marginalisées ou immigrantes, secteur éducation aux adultes. 17-30 ans.",581-681-6222,info@courstareussite.com,http://www.courstareussite.com
QBC3534,Habitations du Centre multiethnique de Québec (Les),Saint-Roch (Quartier),"Hébergement temporaire et transitoire prioritairement aux personnes immigrantes nouvellement arrivées, milieu de vie adapté aux besoins des nouveaux arrivants. Pour résidents permanents, temporaires, réfugiés, demandeurs d'asile.",418-687-9771,info@centremultiethnique.com,http://www.habitationscmq.com
QBC4550,Images Salvation,Neufchâtel Est-Lebourgneuf (Quartier),"Production de films offrant aux personnes immigrantes, minorités, personnes à faible revenu la possibilité de s'initier à la réalisation cinématographique. 17+",581-997-9251,cinema@salvationpictures.org,http://www.salvationpictures.org
QBC3839,"Kif-kif, familles mobilisées en action",Vieux-Moulin (Quartier),"Regroupement, accueil et accompagnement des personnes et familles immigrantes et d'origine québécoise, visites à domicile, mobilisation dans projets de communauté inclusive.",581-745-2164,kifkifplanet@gmail.com,
QBC0562,Maison pour femmes immigrantes,Québec (Ville),"Maison d'hébergement pour femmes immigrantes et québécoises victimes de violence conjugale et leurs enfants, hébergement (7 chambres), banque d'interprètes. 18+",418-652-9761 / WhatsApp 418-575-7883 / Banque d'interprètes 418-573-3035,info@maisonpourfemmesimmigrantes.com,http://www.maisonpourfemmesimmigrantes.com
QBC0575,Mieux-être des immigrants,Cité-Universitaire (Quartier),"Soutien à l'intégration des immigrants et amélioration de leurs conditions de vie, accueil, dépannage alimentaire, paniers de Noël, aide à la déclaration de revenus pour immigrants à faible revenu.",418-527-0177,info@meiquebec.org,http://meiquebec.org
