id,probleme,name,category,subcategory,city,province,phone,website,address,hours,is_province_wide,is_urgent,verification_note,description
ab-211,sans adresse,211 Alberta,soutienSocial,Référence communautaire,Province de l'Alberta,AB,211,https://www.ab.211.ca,,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
ab-alis,sans adresse,ALIS – Emploi Alberta,emploi,Services d'emploi,Province de l'Alberta,AB,1-800-661-3753,https://alis.alberta.ca,,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
ab-ahs,sans adresse,Alberta Health Services,sante,Réseau de la santé,Province de l'Alberta,AB,1-877-644-9992,https://www.albertahealthservices.ca,,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,
ab-housing-ab,sans adresse,Alberta Seniors and Community Housing,logement,Logement subventionné,Province de l'Alberta,AB,1-866-716-2333,https://www.alberta.ca/find-housing.aspx,,Bureau lun-ven 8h30-16h30. Liste d'attente – inscription requise.,t,f,,
ab-crea-ab,sans adresse,Association des courtiers immobiliers AB,achatImmobilier,Services immobiliers,Province de l'Alberta,AB,403-228-6845,https://www.crea.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
ab-crisis-line-ab,sans adresse,Crisis Line Alberta,santemental,Crise 24/7,Province de l'Alberta,AB,1-844-944-5465,https://www.albertahealthservices.ca/findhealth/service.aspx?Id=6810,,"Service disponible 24h/24, 7j/7",t,f,,
ab-child-family-ab,sans adresse,Family Resource Network AB,famille,Soutien aux familles,Province de l'Alberta,AB,1-800-668-2700,https://www.alberta.ca/family-support.aspx,,Lun-ven 8h30-16h30. Sur RV.,t,f,,
ab-health-link,sans adresse,Health Link Alberta,sante,Info-Santé 24/7,Province de l'Alberta,AB,811,https://www.albertahealthservices.ca/assets/healthinfo/link/index.html,,"Service disponible 24h/24, 7j/7",t,f,,
ab-cmhc-ab,sans adresse,SCHL – Alberta,achatImmobilier,Aide à l'achat,Province de l'Alberta,AB,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
bc-211,sans adresse,211 Colombie-Britannique,soutienSocial,Référence communautaire,Province de la Colombie-Britannique,BC,211,https://www.211.ca,,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
bc-crisis-line,sans adresse,BC Crisis Line,santemental,Crise psychologique 24/7,Province de la Colombie-Britannique,BC,1-800-784-2433,https://www.crisiscentre.bc.ca,,"Service disponible 24h/24, 7j/7",t,f,,
bc-housing,sans adresse,BC Housing,logement,Logement subventionné,Province de la Colombie-Britannique,BC,1-800-257-7756,https://www.bchousing.org,,Bureau lun-ven 8h30-16h30. Liste d'attente – inscription requise.,t,f,,
bc-mental-health,sans adresse,BC Mental Health & Substance Use,santemental,Santé mentale et dépendances,Province de la Colombie-Britannique,BC,1-800-663-1441,https://www.bcmhsus.ca,,Lun-ven 8h30-16h30. Sur rendez-vous pour suivi.,t,f,,
bc-transition-house,sans adresse,BC Society of Transition Houses,famille,Violence conjugale,Province de la Colombie-Britannique,BC,1-800-563-0808,https://www.bcsth.ca,,Ligne d'urgence 24h/24. Hébergement sur appel. Confidentiel.,t,f,,
bc-health-link,sans adresse,HealthLink BC,sante,Info-Santé 24/7,Province de la Colombie-Britannique,BC,811,https://www.healthlinkbc.ca,,"Service disponible 24h/24, 7j/7",t,f,,
