"id","name","subcategory","city","province","phone","website","address","description"
"qc-mtl-bnk001","Banque Nationale — Siège","Banque commerciale","Montréal","QC","514-394-5000","https://www.bnc.ca","800, rue Saint-Jacques, Montréal, QC","Banque Nationale du Canada — siège social. Service à la clientèle particuliers et entreprises."
"qc-mtl-bnk002","Desjardins — Complexe Desjardins","Coopérative financière","Montréal","QC","514-281-7000","https://www.desjardins.com","150, rue Sainte-Catherine Ouest, Montréal, QC","Caisse Desjardins du Complexe Desjardins. Conseils financiers, comptes, prêts."
"qc-que-bnk001","Desjardins — Grande Allée","Coopérative financière","Québec","QC","418-648-1515","https://www.desjardins.com","1150, Grande Allée Ouest, Québec, QC","Caisse Desjardins de Québec — secteur Grande Allée."
"qc-que-bnk002","Banque Nationale — Sainte-Foy","Banque commerciale","Québec","QC","418-658-0641","https://www.bnc.ca","1170, chemin Sainte-Foy, Québec, QC","Banque Nationale — succursale Sainte-Foy."
"qc-lvl-bnk001","RBC Banque Royale — Saint-Martin","Banque commerciale","Laval","QC","450-973-6300","https://www.rbcbanqueroyale.com","3055, boulevard Saint-Martin Ouest, Laval, QC","RBC Banque Royale — succursale boulevard Saint-Martin."
"qc-gat-bnk001","CIBC — Plateau","Banque commerciale","Gatineau","QC","819-771-3243","https://www.cibc.com","100, boulevard du Plateau, Gatineau, QC","CIBC — succursale du Plateau."
"qc-lng-bnk001","Desjardins — Saint-Charles","Coopérative financière","Longueuil","QC","450-646-9811","https://www.desjardins.com","1111, rue Saint-Charles Ouest, Longueuil, QC","Caisse Desjardins de Longueuil — rue Saint-Charles."
"qc-shb-bnk001","Banque Scotia — Portland","Banque commerciale","Sherbrooke","QC","819-563-0200","https://www.scotiabank.com","1450, boulevard de Portland, Sherbrooke, QC","Banque Scotia — succursale boulevard de Portland."
"qc-lev-bnk001","Desjardins — Siège social","Coopérative financière","Lévis","QC","418-835-2400","https://www.desjardins.com","100, avenue des Commandeurs, Lévis, QC","Mouvement Desjardins — siège social du Mouvement."
"qc-sag-bnk001","BMO Banque de Montréal — Racine","Banque commerciale","Saguenay","QC","418-543-3341","https://www.bmo.com","161, rue Racine Est, Saguenay, QC","BMO Banque de Montréal — succursale rue Racine Est."
"qc-trv-bnk001","Banque Nationale — Royale","Banque commerciale","Trois-Rivières","QC","819-376-3735","https://www.bnc.ca","1350, rue Royale, Trois-Rivières, QC","Banque Nationale — succursale rue Royale."
"qc-trb-bnk001","TD Canada Trust — Moody","Banque commerciale","Terrebonne","QC","450-471-5511","https://www.td.com","1185, boulevard Moody, Terrebonne, QC","TD Canada Trust — succursale boulevard Moody."
"qc-stj-bnk001","RBC Banque Royale — Pierre-Caisse","Banque commerciale","Saint-Jean-sur-Richelieu","QC","450-349-5811","https://www.rbcbanqueroyale.com","600, rue Pierre-Caisse, Saint-Jean-sur-Richelieu, QC","RBC Banque Royale — succursale Pierre-Caisse."
